Category,City,iso_week,comp_median_price,comp_avg_disc,comp_max_disc,comp_p75_disc,comp_avg_osa,n_comp_skus
Besan & Gram Flour,Ahmedabad,2026-W01,71.61,25.122798781725002,52.550458716,46.00745834425,93.8,40
Besan & Gram Flour,Ahmedabad,2026-W02,73.745,24.867124911785716,52.862385321,42.703517588,92.68571428571428,70
Besan & Gram Flour,Ahmedabad,2026-W03,73.26,24.28814136915714,47.326315789,42.713567839,92.12885154061428,70
Besan & Gram Flour,Ahmedabad,2026-W04,73.1,26.153420648471428,50.753768844,42.713567839,89.47048049995715,70
Besan & Gram Flour,Ahmedabad,2026-W05,73.075,25.686733676499998,54.95412844,42.713567839,75.9383753500857,70
Besan & Gram Flour,Ahmedabad,2026-W06,71.5,26.722319578585715,55.04587156,45.263157895,74.17366946785714,70
Besan & Gram Flour,Ahmedabad,2026-W07,88.0,25.13663506985294,55.04587156,44.5025125625,70.50420168068571,70
Besan & Gram Flour,Ahmedabad,2026-W08,72.05,25.796736117885715,48.568807339,44.713567839,78.26330532214286,70
Besan & Gram Flour,Ahmedabad,2026-W09,70.83,27.846345177314284,57.963302752,45.263157895,74.5378151260143,70
Besan & Gram Flour,Ahmedabad,2026-W10,70.78,27.577325203342856,57.596330275,44.72361809,79.41176470585715,70
Besan & Gram Flour,Ahmedabad,2026-W11,88.0,25.461238421597013,48.623853211,44.72361809,76.10644257704287,70
Besan & Gram Flour,Ahmedabad,2026-W12,88.0,25.590602885859376,58.880733945,39.189873418,77.40249946137142,70
Besan & Gram Flour,Ahmedabad,2026-W13,88.0,24.296914846650797,50.357798165,39.215189873,68.02197802205714,70
Besan & Gram Flour,Ahmedabad,2026-W14,88.0,24.149154636873014,50.458715596,39.069620253,72.41395397065715,70
Besan & Gram Flour,Ahmedabad,2026-W15,98.9,22.33233208352381,50.458715596,35.970775634999995,80.4266017003,70
Besan & Gram Flour,Ahmedabad,2026-W16,95.45,20.456185233428574,45.809045226,32.751677852,84.8517520216,70
Besan & Gram Flour,Ahmedabad,2026-W17,88.0,19.200271386984376,45.778894472,32.152972802,84.17789757409999,70
Besan & Gram Flour,Ahmedabad,2026-W18,84.63,23.018314480042857,45.263157895,34.032175925749996,82.12938005404287,70
Besan & Gram Flour,Ahmedabad,2026-W19,79.83500000000001,24.179311451714284,53.768844221,39.240506329,69.21832884112858,70
Besan & Gram Flour,Ahmedabad,2026-W20,52.0,20.44162755078261,45.263157895,27.142857143,66.23634558102631,76
Besan & Gram Flour,Ahmedabad,2026-W21,92.0,14.629250152857143,39.240506329,25.55704698,67.97671231635066,77
Besan & Gram Flour,Ahmedabad,2026-W22,92.0,15.411797408714285,39.240506329,25.530201342,69.34540207264935,77
Besan & Gram Flour,Ahmedabad,2026-W23,92.0,17.484230040753847,45.263157895,27.142857143,64.72000544457143,77
Besan & Gram Flour,Ahmedabad,2026-W24,92.0,16.901981148539683,39.240506329,26.6519654845,47.52709696316883,77
Besan & Gram Flour,Ahmedabad,2026-W25,92.0,18.984622624634923,45.569620253,27.142857143,29.038912215623377,77
Besan & Gram Flour,Ahmedabad,2026-W26,92.0,15.541540778212122,37.797468354,25.503355705,44.46631284089412,85
Besan & Gram Flour,Ahmedabad,2026-W27,92.0,16.69035586873913,35.189873418,26.4445349955,45.8701351079,30
Besan & Gram Flour,Bangalore,2026-W01,66.005,24.48059247998611,49.473684211,33.05234946025,64.00294959739999,76
Besan & Gram Flour,Bangalore,2026-W02,64.065,25.534432671079365,51.578947368,33.766233766,61.75206365305113,133
Besan & Gram Flour,Bangalore,2026-W03,64.05,24.888722127928002,52.631578947,32.467455621,58.00165228021503,133
Besan & Gram Flour,Bangalore,2026-W04,69.75,26.152360711008402,52.631578947,33.9056603775,56.71063887262707,133
Besan & Gram Flour,Bangalore,2026-W05,72.22,24.684849464857145,44.025157233,33.2406311635,56.31414399985263,133
Besan & Gram Flour,Bangalore,2026-W06,72.28,23.723759677831932,44.063157895,32.944099379,63.78983972966165,133
Besan & Gram Flour,Bangalore,2026-W07,70.16,24.062087169697477,51.578947368,31.9585798815,64.27540787620451,133
Besan & Gram Flour,Bangalore,2026-W08,64.0,23.92283820201829,51.578947368,29.649006623,70.09653769390307,130
Besan & Gram Flour,Bangalore,2026-W09,60.92,25.05517242736664,51.578947368,31.958579882,72.32659993654127,126
Besan & Gram Flour,Bangalore,2026-W10,61.835,26.851113585857142,51.578947368,32.5,74.49727787238096,126
Besan & Gram Flour,Bangalore,2026-W11,62.65,25.573438659293654,51.578947368,32.275,72.34974691630158,126
Besan & Gram Flour,Bangalore,2026-W12,61.0,26.0822907362,51.578947368,32.5,69.4793649385516,126
Besan & Gram Flour,Bangalore,2026-W13,65.75,25.13635356239316,51.578947368,32.275,66.00985221679365,126
Besan & Gram Flour,Bangalore,2026-W14,72.68,23.538774452042016,51.578947368,30.741176471,68.27562749240714,126
Besan & Gram Flour,Bangalore,2026-W15,70.53,23.411412023159663,51.578947368,28.9697986575,69.52599257761031,126
Besan & Gram Flour,Bangalore,2026-W16,71.03,23.715460486487395,51.578947368,28.88590604,65.51471316496507,126
Besan & Gram Flour,Bangalore,2026-W17,72.75,22.052279718999998,47.368421053,28.15999999975,64.84314645400555,126
Besan & Gram Flour,Bangalore,2026-W18,72.79,22.407952381605043,49.473684211,28.859060403,63.57369614511746,126
Besan & Gram Flour,Bangalore,2026-W19,72.81,23.30149514168421,49.473684211,29.15333333325,64.58373081034206,126
Besan & Gram Flour,Bangalore,2026-W20,72.75,23.974565645303574,48.421052632,29.28166666675,57.8254494024375,128
Besan & Gram Flour,Bangalore,2026-W21,72.91,23.059705011477064,46.315789474,28.859060403,58.96020896399098,133
Besan & Gram Flour,Bangalore,2026-W22,72.92,22.701954119333333,44.736842105,28.859060403,56.40806561862406,133
Besan & Gram Flour,Bangalore,2026-W23,72.945,20.66653848235192,48.421052632,28.859060403,54.88677863485864,133
Besan & Gram Flour,Bangalore,2026-W24,82.465,19.621434859307143,39.644970414,27.179675716749998,52.60150375942106,133
Besan & Gram Flour,Bangalore,2026-W25,81.97,18.827001962062244,35.0,26.342352941,58.20505809983459,133
Besan & Gram Flour,Bangalore,2026-W26,72.0,18.68196497403353,47.368421053,25.429411764999998,41.20312037465025,203
Besan & Gram Flour,Bangalore,2026-W27,71.495,19.651197135449333,47.368421053,27.2820701355,35.17994856110606,66
Besan & Gram Flour,Chandigarh Tricity,2026-W01,63.47,27.424381294175,47.777777778,35.877192982,76.9531250000625,80
Besan & Gram Flour,Chandigarh Tricity,2026-W02,62.8,27.578739678221428,44.390510949,35.6254901965,75.37202380957143,140
Besan & Gram Flour,Chandigarh Tricity,2026-W03,64.836666667,26.467692514551022,48.284210526,35.81754386,71.21756109853061,147
Besan & Gram Flour,Chandigarh Tricity,2026-W04,64.92,27.01385578087586,49.839920949,35.789473684,72.93871252207482,147
Besan & Gram Flour,Chandigarh Tricity,2026-W05,74.715,25.609911984466645,49.942687747,35.555555556,69.2999599367415,147
Besan & Gram Flour,Chandigarh Tricity,2026-W06,76.5,25.861773369385716,44.473684211,35.555555556,66.73715404529251,147
Besan & Gram Flour,Chandigarh Tricity,2026-W07,88.0,25.75519262736838,45.319298246,35.555555556,67.37100870031293,147
Besan & Gram Flour,Chandigarh Tricity,2026-W08,88.0,26.14910730181203,45.335968379,35.555555556,64.6744412049728,147
Besan & Gram Flour,Chandigarh Tricity,2026-W09,88.0,26.338003596294573,44.049309665,35.555555556,63.56362953334014,147
Besan & Gram Flour,Chandigarh Tricity,2026-W10,75.5,26.646939370190477,46.561403509,35.324444444,64.79773074617687,147
Besan & Gram Flour,Chandigarh Tricity,2026-W11,75.5,26.166289235325397,46.168421053,32.96470588275,57.4719381327483,147
Besan & Gram Flour,Chandigarh Tricity,2026-W12,75.5,26.353934815603175,45.859649123,33.537156862500005,55.750433204204086,147
Besan & Gram Flour,Chandigarh Tricity,2026-W13,88.0,26.33610066442623,47.045614035,33.86147058825,58.955341395763895,144
Besan & Gram Flour,Chandigarh Tricity,2026-W14,88.0,25.898341189689077,46.824561404,34.101960784,62.895610625128576,140
Besan & Gram Flour,Chandigarh Tricity,2026-W15,88.0,25.613177595033612,46.133333333,33.450980392,61.38052046208572,140
Besan & Gram Flour,Chandigarh Tricity,2026-W16,65.976666667,25.90464652357944,46.578947368,33.062745098,55.17222762118571,140
