week,cell_id,product_id,city,recommended_action,recommended_disc,applied
W2,16658_500g_Bangalore,16658,Bangalore,cut,7.02,
W2,16658_500g_Hyderabad,16658,Hyderabad,cut,7.140000000000001,
W2,16658_500g_Pune,16658,Pune,cut,7.199999999999999,
W2,3582_500g_Kolkata,3582,Kolkata,cut,11.54,
W2,3592_500g_Hyderabad,3592,Hyderabad,cut,0.009999999999999787,
W2,3796_500g_Bangalore,3796,Bangalore,cut,4.44,
W2,3796_500g_Delhi-NCR,3796,Delhi-NCR,cut,4.92,
W2,3796_500g_Kolkata,3796,Kolkata,cut,4.86,
W2,3796_500g_Lucknow,3796,Lucknow,cut,4.52,
W2,532385_5kg_Bangalore,532385,Bangalore,cut,21.23,
W2,532385_5kg_Delhi-NCR,532385,Delhi-NCR,cut,22.14,
W2,532385_5kg_Hyderabad,532385,Hyderabad,cut,22.28,
W2,532385_5kg_Kolkata,532385,Kolkata,cut,23.6,
W2,570520_1kg_Lucknow,570520,Lucknow,cut,10.41,
W2,5751_500g_Bangalore,5751,Bangalore,cut,11.8,
W2,5751_500g_Chandigarh Tricity,5751,Chandigarh Tricity,cut,12.57,
W2,5751_500g_Delhi-NCR,5751,Delhi-NCR,cut,11.26,
W2,5751_500g_Hyderabad,5751,Hyderabad,cut,12.1,
W2,5751_500g_Pune,5751,Pune,cut,12.05,
W2,5793_500g_Bangalore,5793,Bangalore,cut,7.529999999999999,
W2,5793_500g_Delhi-NCR,5793,Delhi-NCR,cut,6.92,
W2,67917_5kg_Chandigarh Tricity,67917,Chandigarh Tricity,cut,19.84,
W2,67917_5kg_Delhi-NCR,67917,Delhi-NCR,cut,17.19,
W2,67917_5kg_Mumbai,67917,Mumbai,cut,19.62,
