cell_id,product_id,city,pricing_action,agree_with_cut
122262_Bangalore,122262,Bangalore,hold,False
122262_Chandigarh Tricity,122262,Chandigarh Tricity,hold,False
122262_Delhi-NCR,122262,Delhi-NCR,hold,False
122262_Hyderabad,122262,Hyderabad,hold,False
122262_Kolkata,122262,Kolkata,hold,False
122262_Mumbai,122262,Mumbai,hold,False
122262_Others,122262,Others,hold,False
122262_Pune,122262,Pune,hold,False
3588_Ahmedabad,3588,Ahmedabad,cut,False
21833_Ahmedabad,21833,Ahmedabad,cut,False
32385_1kg_Ahmedabad,32385,Ahmedabad,cut,True
32386_Ahmedabad,32386,Ahmedabad,cut,False
3586_Bangalore,3586,Bangalore,cut,False
3587_Bangalore,3587,Bangalore,cut,False
3588_Bangalore,3588,Bangalore,cut,False
3795_Bangalore,3795,Bangalore,cut,False
16661_500g_Bangalore,16661,Bangalore,cut,True
21835_Bangalore,21835,Bangalore,cut,False
24055_500g_Bangalore,24055,Bangalore,cut,True
31999_Bangalore,31999,Bangalore,cut,False
32385_1kg_Bangalore,32385,Bangalore,cut,True
126995_500g_Bangalore,126995,Bangalore,cut,True
495092_Bangalore,495092,Bangalore,cut,False
3587_Chandigarh Tricity,3587,Chandigarh Tricity,cut,False
3588_Chandigarh Tricity,3588,Chandigarh Tricity,cut,False
16661_Chandigarh Tricity,16661,Chandigarh Tricity,cut,False
21835_Chandigarh Tricity,21835,Chandigarh Tricity,cut,False
21836_Chandigarh Tricity,21836,Chandigarh Tricity,cut,False
31999_Chandigarh Tricity,31999,Chandigarh Tricity,cut,False
75468_Chandigarh Tricity,75468,Chandigarh Tricity,cut,False
126995_500g_Chandigarh Tricity,126995,Chandigarh Tricity,cut,True
495092_Chandigarh Tricity,495092,Chandigarh Tricity,cut,False
3586_Chennai,3586,Chennai,cut,False
3587_Chennai,3587,Chennai,cut,False
3588_Chennai,3588,Chennai,cut,False
3795_Chennai,3795,Chennai,cut,False
16661_Chennai,16661,Chennai,cut,False
21835_Chennai,21835,Chennai,cut,False
24055_Chennai,24055,Chennai,cut,False
31999_Chennai,31999,Chennai,cut,False
126995_Chennai,126995,Chennai,cut,False
495092_Chennai,495092,Chennai,cut,False
3586_Delhi-NCR,3586,Delhi-NCR,cut,False
3587_Delhi-NCR,3587,Delhi-NCR,cut,False
3588_Delhi-NCR,3588,Delhi-NCR,cut,False
3795_Delhi-NCR,3795,Delhi-NCR,cut,False
16661_500g_Delhi-NCR,16661,Delhi-NCR,cut,True
21835_Delhi-NCR,21835,Delhi-NCR,cut,False
21836_Delhi-NCR,21836,Delhi-NCR,cut,False
31999_Delhi-NCR,31999,Delhi-NCR,cut,False
75468_Delhi-NCR,75468,Delhi-NCR,cut,False
126995_Delhi-NCR,126995,Delhi-NCR,cut,False
495092_Delhi-NCR,495092,Delhi-NCR,cut,False
3586_Hyderabad,3586,Hyderabad,cut,False
3587_Hyderabad,3587,Hyderabad,cut,False
3588_Hyderabad,3588,Hyderabad,cut,False
3795_500g_Hyderabad,3795,Hyderabad,cut,True
16661_Hyderabad,16661,Hyderabad,cut,False
21835_Hyderabad,21835,Hyderabad,cut,False
24055_500g_Hyderabad,24055,Hyderabad,cut,True
31999_Hyderabad,31999,Hyderabad,cut,False
32385_1kg_Hyderabad,32385,Hyderabad,cut,True
