product_i,product_j,city,cross_elast
122262,490410,Hyderabad,0.15
490410,122262,Hyderabad,0.15
3588,21833,Ahmedabad,0.0126
3588,32385,Ahmedabad,0.0126
3588,32386,Ahmedabad,0.0126
3588,126995,Ahmedabad,0.0126
3588,495092,Ahmedabad,0.0126
21833,3588,Ahmedabad,0.0126
21833,32385,Ahmedabad,0.0126
21833,32386,Ahmedabad,0.0126
21833,126995,Ahmedabad,0.0126
21833,495092,Ahmedabad,0.0126
32385,3588,Ahmedabad,0.0126
32385,21833,Ahmedabad,0.0126
32385,32386,Ahmedabad,0.0126
32385,126995,Ahmedabad,0.0126
32385,495092,Ahmedabad,0.0126
32386,3588,Ahmedabad,0.0126
32386,21833,Ahmedabad,0.0126
32386,32385,Ahmedabad,0.0126
32386,126995,Ahmedabad,0.0126
32386,495092,Ahmedabad,0.0126
126995,3588,Ahmedabad,0.0126
126995,21833,Ahmedabad,0.0126
126995,32385,Ahmedabad,0.0126
126995,32386,Ahmedabad,0.0126
126995,495092,Ahmedabad,0.0126
495092,3588,Ahmedabad,0.0126
495092,21833,Ahmedabad,0.0126
495092,32385,Ahmedabad,0.0126
495092,32386,Ahmedabad,0.0126
495092,126995,Ahmedabad,0.0126
3586,3587,Bangalore,0.0063
3586,3588,Bangalore,0.0063
3586,3795,Bangalore,0.0063
3586,16661,Bangalore,0.0063
3586,21835,Bangalore,0.0063
3586,24055,Bangalore,0.0063
3586,31999,Bangalore,0.0063
3586,32385,Bangalore,0.0063
3586,126995,Bangalore,0.0063
3586,495092,Bangalore,0.0063
3587,3586,Bangalore,0.0063
3587,3588,Bangalore,0.0063
3587,3795,Bangalore,0.0063
3587,16661,Bangalore,0.0063
3587,21835,Bangalore,0.0063
3587,24055,Bangalore,0.0063
3587,31999,Bangalore,0.0063
3587,32385,Bangalore,0.0063
3587,126995,Bangalore,0.0063
3587,495092,Bangalore,0.0063
3588,3586,Bangalore,0.0063
3588,3587,Bangalore,0.0063
3588,3795,Bangalore,0.0063
3588,16661,Bangalore,0.0063
3588,21835,Bangalore,0.0063
3588,24055,Bangalore,0.0063
3588,31999,Bangalore,0.0063
3588,32385,Bangalore,0.0063
3588,126995,Bangalore,0.0063
3588,495092,Bangalore,0.0063
3795,3586,Bangalore,0.0063
3795,3587,Bangalore,0.0063
3795,3588,Bangalore,0.0063
3795,16661,Bangalore,0.0063
3795,21835,Bangalore,0.0063
3795,24055,Bangalore,0.0063
3795,31999,Bangalore,0.0063
3795,32385,Bangalore,0.0063
3795,126995,Bangalore,0.0063
3795,495092,Bangalore,0.0063
16661,3586,Bangalore,0.0063
16661,3587,Bangalore,0.0063
16661,3588,Bangalore,0.0063
16661,3795,Bangalore,0.0063
16661,21835,Bangalore,0.0063
16661,24055,Bangalore,0.0063
16661,31999,Bangalore,0.0063
16661,32385,Bangalore,0.0063
16661,126995,Bangalore,0.0063
16661,495092,Bangalore,0.0063
21835,3586,Bangalore,0.0063
21835,3587,Bangalore,0.0063
21835,3588,Bangalore,0.0063
21835,3795,Bangalore,0.0063
21835,16661,Bangalore,0.0063
21835,24055,Bangalore,0.0063
21835,31999,Bangalore,0.0063
21835,32385,Bangalore,0.0063
21835,126995,Bangalore,0.0063
21835,495092,Bangalore,0.0063
24055,3586,Bangalore,0.0063
24055,3587,Bangalore,0.0063
24055,3588,Bangalore,0.0063
24055,3795,Bangalore,0.0063
24055,16661,Bangalore,0.0063
24055,21835,Bangalore,0.0063
24055,31999,Bangalore,0.0063
24055,32385,Bangalore,0.0063
24055,126995,Bangalore,0.0063
24055,495092,Bangalore,0.0063
31999,3586,Bangalore,0.0063
31999,3587,Bangalore,0.0063
31999,3588,Bangalore,0.0063
31999,3795,Bangalore,0.0063
31999,16661,Bangalore,0.0063
31999,21835,Bangalore,0.0063
31999,24055,Bangalore,0.0063
31999,32385,Bangalore,0.0063
31999,126995,Bangalore,0.0063
31999,495092,Bangalore,0.0063
32385,3586,Bangalore,0.0063
32385,3587,Bangalore,0.0063
32385,3588,Bangalore,0.0063
32385,3795,Bangalore,0.0063
32385,16661,Bangalore,0.0063
32385,21835,Bangalore,0.0063
32385,24055,Bangalore,0.0063
32385,31999,Bangalore,0.0063
32385,126995,Bangalore,0.0063
32385,495092,Bangalore,0.0063
126995,3586,Bangalore,0.0063
126995,3587,Bangalore,0.0063
126995,3588,Bangalore,0.0063
126995,3795,Bangalore,0.0063
126995,16661,Bangalore,0.0063
126995,21835,Bangalore,0.0063
126995,24055,Bangalore,0.0063
126995,31999,Bangalore,0.0063
126995,32385,Bangalore,0.0063
126995,495092,Bangalore,0.0063
495092,3586,Bangalore,0.0063
495092,3587,Bangalore,0.0063
495092,3588,Bangalore,0.0063
495092,3795,Bangalore,0.0063
495092,16661,Bangalore,0.0063
495092,21835,Bangalore,0.0063
495092,24055,Bangalore,0.0063
495092,31999,Bangalore,0.0063
495092,32385,Bangalore,0.0063
495092,126995,Bangalore,0.0063
3587,3588,Chandigarh Tricity,0.0079
3587,16661,Chandigarh Tricity,0.0079
3587,21835,Chandigarh Tricity,0.0079
3587,21836,Chandigarh Tricity,0.0079
3587,31999,Chandigarh Tricity,0.0079
3587,75468,Chandigarh Tricity,0.0079
3587,126995,Chandigarh Tricity,0.0079
3587,495092,Chandigarh Tricity,0.0079
3588,3587,Chandigarh Tricity,0.0079
3588,16661,Chandigarh Tricity,0.0079
3588,21835,Chandigarh Tricity,0.0079
3588,21836,Chandigarh Tricity,0.0079
3588,31999,Chandigarh Tricity,0.0079
3588,75468,Chandigarh Tricity,0.0079
3588,126995,Chandigarh Tricity,0.0079
3588,495092,Chandigarh Tricity,0.0079
16661,3587,Chandigarh Tricity,0.0079
16661,3588,Chandigarh Tricity,0.0079
16661,21835,Chandigarh Tricity,0.0079
16661,21836,Chandigarh Tricity,0.0079
16661,31999,Chandigarh Tricity,0.0079
16661,75468,Chandigarh Tricity,0.0079
16661,126995,Chandigarh Tricity,0.0079
16661,495092,Chandigarh Tricity,0.0079
21835,3587,Chandigarh Tricity,0.0079
21835,3588,Chandigarh Tricity,0.0079
21835,16661,Chandigarh Tricity,0.0079
21835,21836,Chandigarh Tricity,0.0079
21835,31999,Chandigarh Tricity,0.0079
21835,75468,Chandigarh Tricity,0.0079
21835,126995,Chandigarh Tricity,0.0079
21835,495092,Chandigarh Tricity,0.0079
21836,3587,Chandigarh Tricity,0.0079
21836,3588,Chandigarh Tricity,0.0079
21836,16661,Chandigarh Tricity,0.0079
21836,21835,Chandigarh Tricity,0.0079
21836,31999,Chandigarh Tricity,0.0079
21836,75468,Chandigarh Tricity,0.0079
21836,126995,Chandigarh Tricity,0.0079
21836,495092,Chandigarh Tricity,0.0079
31999,3587,Chandigarh Tricity,0.0079
31999,3588,Chandigarh Tricity,0.0079
31999,16661,Chandigarh Tricity,0.0079
31999,21835,Chandigarh Tricity,0.0079
31999,21836,Chandigarh Tricity,0.0079
31999,75468,Chandigarh Tricity,0.0079
31999,126995,Chandigarh Tricity,0.0079
31999,495092,Chandigarh Tricity,0.0079
75468,3587,Chandigarh Tricity,0.0079
75468,3588,Chandigarh Tricity,0.0079
75468,16661,Chandigarh Tricity,0.0079
75468,21835,Chandigarh Tricity,0.0079
75468,21836,Chandigarh Tricity,0.0079
75468,31999,Chandigarh Tricity,0.0079
75468,126995,Chandigarh Tricity,0.0079
75468,495092,Chandigarh Tricity,0.0079
126995,3587,Chandigarh Tricity,0.0079
126995,3588,Chandigarh Tricity,0.0079
126995,16661,Chandigarh Tricity,0.0079
126995,21835,Chandigarh Tricity,0.0079
126995,21836,Chandigarh Tricity,0.0079
126995,31999,Chandigarh Tricity,0.0079
