product_id,city,own_elast,own_sd,promo_elast
122262,Bangalore,0.0,1.0005,0.1471
122262,Chandigarh Tricity,0.0,1.0005,0.1471
122262,Delhi-NCR,0.0,1.0005,0.1471
122262,Hyderabad,0.0,1.0005,0.1471
122262,Kolkata,0.0,1.0005,0.1471
122262,Mumbai,-0.1593,1.0005,0.1471
122262,Others,0.0,1.0005,0.1471
122262,Pune,0.0,1.0005,0.1471
126995,Bangalore,0.0,0.7038,0.134
126995,Chandigarh Tricity,0.0,0.7038,0.134
126995,Chennai,-0.0607,0.7038,0.134
126995,Delhi-NCR,0.0,0.7038,0.134
126995,Hyderabad,0.0,0.7038,0.134
126995,Kolkata,0.0,0.7038,0.134
126995,Lucknow,0.0,0.7038,0.134
126995,Mumbai,-0.2276,0.7038,0.134
126995,Others,0.0,0.7038,0.134
126995,Pune,0.0,0.7038,0.134
16661,Bangalore,0.0,0.7038,0.134
16661,Chandigarh Tricity,0.0,0.7038,0.134
16661,Chennai,-0.0607,0.7038,0.134
16661,Delhi-NCR,0.0,0.7038,0.134
16661,Hyderabad,0.0,0.7038,0.134
16661,Kolkata,0.0,0.7038,0.134
16661,Lucknow,0.0,0.7038,0.134
16661,Mumbai,-0.2276,0.7038,0.134
16661,Others,0.0,0.7038,0.134
16661,Pune,0.0,0.7038,0.134
21833,Ahmedabad,-0.6433,0.7038,0.134
21833,Others,0.0,0.7038,0.134
21833,Pune,-0.5306,0.7038,0.134
21835,Bangalore,0.0,0.7038,0.134
21835,Chandigarh Tricity,0.0,0.7038,0.134
21835,Chennai,-0.0607,0.7038,0.134
21835,Delhi-NCR,0.0,0.7038,0.134
21835,Hyderabad,0.0,0.7038,0.134
21835,Kolkata,0.0,0.7038,0.134
21835,Lucknow,0.0,0.7038,0.134
21835,Others,0.0,0.7038,0.134
21835,Pune,0.0,0.7038,0.134
21836,Chandigarh Tricity,0.0,0.7038,0.134
21836,Delhi-NCR,0.0,0.7038,0.134
21836,Lucknow,0.0,0.7038,0.134
21836,Others,0.0,0.7038,0.134
21836,Pune,0.0,0.7038,0.134
21837,Lucknow,0.0,0.7038,0.134
21837,Others,0.0,0.7038,0.134
21837,Pune,0.0,0.7038,0.134
21838,Others,0.0,0.7038,0.134
24055,Bangalore,0.0,0.7038,0.134
24055,Chennai,-0.0607,0.7038,0.134
24055,Hyderabad,0.0,0.7038,0.134
24055,Kolkata,0.0,0.7038,0.134
24055,Others,0.0,0.7038,0.134
31999,Bangalore,0.0,0.7038,0.134
31999,Chandigarh Tricity,0.0,0.7038,0.134
31999,Chennai,-0.0607,0.7038,0.134
31999,Delhi-NCR,0.0,0.7038,0.134
31999,Hyderabad,0.0,0.7038,0.134
31999,Lucknow,0.0,0.7038,0.134
31999,Mumbai,-0.2276,0.7038,0.134
31999,Others,0.0,0.7038,0.134
31999,Pune,0.0,0.7038,0.134
32385,Ahmedabad,-0.6433,0.7038,0.134
32385,Bangalore,-0.7884,0.7038,0.134
32385,Hyderabad,-0.2695,0.7038,0.134
32385,Lucknow,-0.5476,0.7038,0.134
32385,Mumbai,-1.059,0.7038,0.134
32385,Others,0.0,0.7038,0.134
32385,Pune,-0.5306,0.7038,0.134
32386,Ahmedabad,-0.6433,0.7038,0.134
32386,Kolkata,-0.2508,0.7038,0.134
32386,Others,0.0,0.7038,0.134
32386,Pune,-0.5306,0.7038,0.134
3586,Bangalore,0.0,0.7038,0.134
3586,Chennai,-0.0607,0.7038,0.134
3586,Delhi-NCR,0.0,0.7038,0.134
3586,Hyderabad,0.0,0.7038,0.134
3586,Kolkata,0.0,0.7038,0.134
3586,Mumbai,-0.2276,0.7038,0.134
3586,Others,0.0,0.7038,0.134
3587,Bangalore,0.0,0.7038,0.134
3587,Chandigarh Tricity,0.0,0.7038,0.134
3587,Chennai,-0.0607,0.7038,0.134
3587,Delhi-NCR,0.0,0.7038,0.134
3587,Hyderabad,0.0,0.7038,0.134
3587,Kolkata,0.0,0.7038,0.134
3587,Lucknow,0.0,0.7038,0.134
3587,Mumbai,-0.2276,0.7038,0.134
3587,Others,0.0,0.7038,0.134
3587,Pune,0.0,0.7038,0.134
3588,Ahmedabad,0.0,0.7038,0.134
3588,Bangalore,0.0,0.7038,0.134
3588,Chandigarh Tricity,0.0,0.7038,0.134
3588,Chennai,-0.0607,0.7038,0.134
3588,Delhi-NCR,0.0,0.7038,0.134
3588,Hyderabad,0.0,0.7038,0.134
3588,Kolkata,0.0,0.7038,0.134
3588,Lucknow,0.0,0.7038,0.134
3588,Others,0.0,0.7038,0.134
3795,Bangalore,0.0,0.7038,0.134
3795,Chennai,-0.0607,0.7038,0.134
3795,Delhi-NCR,0.0,0.7038,0.134
3795,Hyderabad,0.0,0.7038,0.134
3795,Kolkata,0.0,0.7038,0.134
3795,Others,0.0,0.7038,0.134
75468,Chandigarh Tricity,0.0,0.7038,0.134
75468,Delhi-NCR,0.0,0.7038,0.134
75468,Lucknow,0.0,0.7038,0.134
75468,Others,0.0,0.7038,0.134
245436,Bangalore,0.0,2.3644,-0.3759
245436,Delhi-NCR,0.0,2.3644,-0.3759
245436,Hyderabad,0.0,2.3644,-0.3759
245436,Mumbai,0.0,2.3644,-0.3759
245436,Others,0.0,2.3644,-0.3759
245436,Pune,0.0,2.3644,-0.3759
532389,Ahmedabad,-2.5,4.2339,-0.7511
532389,Bangalore,-2.5,4.2339,-0.7511
532389,Chennai,-2.5,4.2339,-0.7511
532389,Delhi-NCR,-2.5,4.2339,-0.7511
532389,Hyderabad,-2.5,4.2339,-0.7511
532389,Kolkata,-2.5,4.2339,-0.7511
532389,Mumbai,-2.5,4.2339,-0.7511
532389,Others,-2.5,4.2339,-0.7511
532389,Pune,-2.5,4.2339,-0.7511
532393,Bangalore,-2.5,4.2339,-0.7511
532393,Chennai,-2.5,4.2339,-0.7511
532393,Delhi-NCR,-2.5,4.2339,-0.7511
532393,Hyderabad,-2.5,4.2339,-0.7511
532393,Others,-2.5,4.2339,-0.7511
532393,Pune,-2.5,4.2339,-0.7511
3583,Ahmedabad,-2.0805,1.4746,-0.5651
3583,Bangalore,-2.2256,1.4746,-0.5651
3583,Chandigarh Tricity,-1.9939,1.4746,-0.5651
3583,Chennai,-2.3293,1.4746,-0.5651
3583,Delhi-NCR,-1.8631,1.4746,-0.5651
3583,Hyderabad,-1.7067,1.4746,-0.5651
3583,Kolkata,-1.688,1.4746,-0.5651
3583,Lucknow,-1.9848,1.4746,-0.5651
3583,Mumbai,-2.4962,1.4746,-0.5651
3583,Others,-1.0435,1.4746,-0.5651
3583,Pune,-1.9678,1.4746,-0.5651
545915,Bangalore,-2.2256,1.4746,-0.5651
545915,Chennai,-2.3293,1.4746,-0.5651
545915,Hyderabad,-1.7067,1.4746,-0.5651
545915,Mumbai,-2.4962,1.4746,-0.5651
545915,Others,-1.0435,1.4746,-0.5651
545915,Pune,-1.9678,1.4746,-0.5651
16658,Bangalore,0.0,2.8016,-0.0562
16658,Chandigarh Tricity,0.0,2.8016,-0.0562
16658,Chennai,0.0,2.8016,-0.0562
16658,Delhi-NCR,0.0,2.8016,-0.0562
16658,Hyderabad,0.0,2.8016,-0.0562
16658,Kolkata,0.0,2.8016,-0.0562
16658,Lucknow,0.0,2.8016,-0.0562
16658,Mumbai,0.0,2.8016,-0.0562
16658,Others,0.0,2.8016,-0.0562
16658,Pune,0.0,2.8016,-0.0562
3581,Others,0.0,2.8016,-0.0562
3582,Bangalore,0.0,2.8016,-0.0562
3582,Chandigarh Tricity,0.0,2.8016,-0.0562
3582,Chennai,0.0,2.8016,-0.0562
3582,Delhi-NCR,0.0,2.8016,-0.0562
3582,Hyderabad,0.0,2.8016,-0.0562
3582,Kolkata,0.0,2.8016,-0.0562
3582,Lucknow,0.0,2.8016,-0.0562
3582,Mumbai,0.0,2.8016,-0.0562
3582,Others,0.0,2.8016,-0.0562
3582,Pune,0.0,2.8016,-0.0562
3796,Bangalore,0.0,2.8016,-0.0562
3796,Chennai,0.0,2.8016,-0.0562
