product_id,city,base_disc,opt_disc,base_price,opt_price,pred_units_delta_pct,pred_rev_delta_pct
3581,Others,0.3531,0.0,64.7705,65.0,0.1273,0.4821
3582,Bangalore,15.8878,12.8878,58.8786,60.9786,1.0718,4.6767
3582,Chandigarh Tricity,16.2175,13.2175,58.6477,60.7477,-0.5411,3.0203
3582,Chennai,15.754,12.754,58.9722,61.0722,0.2944,3.8658
3582,Delhi-NCR,10.6634,7.6634,62.5356,64.6356,1.2966,4.6982
3582,Hyderabad,12.5888,9.5888,61.1878,63.2878,1.2686,4.7442
3582,Kolkata,16.1529,13.1529,58.693,60.793,1.113,4.7308
3582,Lucknow,5.7998,2.7998,65.9401,68.0401,0.8041,4.0144
3582,Mumbai,14.4311,11.4311,59.8982,61.9982,-0.3938,3.0984
3582,Others,13.8325,10.8325,60.3172,62.4172,1.1988,4.7221
3582,Pune,16.0295,13.0295,58.7794,60.8794,1.1327,4.7459
3583,Ahmedabad,14.3143,11.3143,77.1171,79.8171,-2.6173,0.7922
3583,Bangalore,13.2273,10.2273,78.0954,80.7954,0.3899,3.8607
3583,Chandigarh Tricity,15.4158,12.4158,76.1257,78.8257,-2.6504,0.8024
3583,Chennai,12.0762,9.0762,79.1314,81.8314,0.4707,3.8988
3583,Delhi-NCR,13.947,10.947,77.4477,80.1477,-2.6065,0.7889
3583,Hyderabad,16.9812,13.9812,74.7169,77.4169,0.2084,3.8295
3583,Kolkata,12.3567,9.3567,78.879,81.579,-2.5606,0.7747
3583,Lucknow,12.1609,9.1609,79.0552,81.7552,-2.5538,0.7744
3583,Mumbai,17.974,14.974,73.8234,76.5234,0.286,3.9539
3583,Others,9.8262,6.8262,81.1564,83.8564,0.4791,3.8219
3583,Pune,15.4457,12.4457,76.0988,78.7988,0.3315,3.8913
3586,Bangalore,11.0479,8.0479,137.8757,142.5257,-3.2954,-0.0339
3586,Chennai,11.3784,14.3784,137.3635,132.7135,4.7222,1.1772
3586,Delhi-NCR,14.6165,12.0171,132.3444,136.3735,-2.8906,0.0658
3586,Hyderabad,10.8071,7.8071,138.249,142.899,-2.8303,0.438
3586,Kolkata,8.343,5.5417,142.0684,146.4104,-2.943,0.0234
3586,Mumbai,12.2379,9.2379,136.0312,140.6812,-3.5926,-0.2971
3586,Others,11.1888,8.1888,137.6573,142.3073,-3.0215,0.2544
3587,Bangalore,22.087,19.087,93.4956,97.0956,-3.6714,0.0377
3587,Chandigarh Tricity,26.4307,23.4769,88.2831,91.8277,-4.1725,-0.325
3587,Chennai,23.4053,20.4053,91.9136,95.5136,-4.5529,-0.8145
3587,Delhi-NCR,22.7251,19.8766,92.7299,96.1481,-3.3026,0.2618
3587,Hyderabad,20.5843,17.5843,95.2989,98.8989,-2.9726,0.6927
3587,Kolkata,22.317,19.6843,93.2196,96.3789,-3.1436,0.1389
3587,Lucknow,24.1549,21.1549,91.0141,94.6141,-3.9503,-0.1511
3587,Mumbai,25.1681,22.1681,89.7983,93.3983,-4.1644,-0.3224
3587,Others,22.6836,20.8997,92.7797,94.9204,-1.3368,0.9397
3587,Pune,24.4704,21.4704,90.6355,94.2355,-3.8003,0.0207
3588,Ahmedabad,18.5992,15.5992,162.8016,168.8016,-3.8633,-0.3202
3588,Bangalore,18.1202,15.1202,163.7595,169.7595,-3.4918,0.0442
3588,Chandigarh Tricity,28.0659,25.5857,143.8681,148.8285,-3.5426,-0.2168
3588,Chennai,18.3003,21.3003,163.3993,157.3993,5.2384,1.374
3588,Delhi-NCR,18.2567,15.3616,163.4866,169.2768,-3.0944,0.3377
3588,Hyderabad,17.795,14.795,164.41,170.41,-2.7649,0.7836
3588,Kolkata,18.6017,17.5514,162.7965,164.8972,-0.5204,0.7633
3588,Lucknow,15.8469,12.847,168.3061,174.3061,-3.5333,-0.0943
3588,Mumbai,16.5873,13.5873,166.8255,172.8255,-3.717,-0.2541
3588,Others,18.0799,15.1526,163.8403,169.6949,-2.8059,0.6672
3588,Pune,17.6875,14.6875,164.625,170.625,-3.3506,0.1719
3592,Bangalore,3.4536,1.0,96.5464,99.0,-0.7878,1.7335
3592,Chandigarh Tricity,3.8451,6.8451,96.1549,93.1549,4.2381,0.9859
3592,Chennai,3.6366,6.6366,96.3634,93.3634,6.3194,3.0094
3592,Delhi-NCR,3.4933,3.4934,96.5067,96.5066,2.2469,2.2468
3592,Hyderabad,3.6388,1.0003,96.3612,98.9997,-1.093,1.6152
3592,Kolkata,3.4354,3.4354,96.5646,96.5646,2.2499,2.2499
3592,Lucknow,3.45,1.0001,96.55,98.9999,-1.101,1.4084
3592,Mumbai,3.4739,1.0003,96.5261,98.9997,-1.0983,1.4362
3592,Others,3.5101,6.5101,96.4899,93.4899,6.101,2.8022
3592,Pune,4.4422,1.4422,95.5578,98.5578,-1.8599,1.2211
3595,Pune,3.8584,0.8584,240.3539,247.8539,-2.7824,0.2512
3596,Bangalore,10.4887,7.4887,61.7628,63.8328,1.9601,5.3773
3596,Chandigarh Tricity,11.0784,8.0784,61.3559,63.4259,0.1657,3.5451
3596,Chennai,11.914,8.914,60.7794,62.8494,-0.3787,3.0142
3596,Delhi-NCR,11.4699,8.4699,61.0858,63.1558,1.0817,4.507
3596,Hyderabad,13.2181,10.2181,59.8795,61.9495,1.6618,5.1762
3596,Kolkata,10.1126,7.1126,62.0223,64.0923,1.2502,4.6294
3596,Lucknow,7.5446,4.5446,63.7942,65.8642,-1.2732,1.9303
3596,Mumbai,10.5056,7.5056,61.7512,63.8212,1.1548,4.5456
3596,Others,10.5414,7.5414,61.7264,63.7964,0.6488,4.024
3596,Pune,10.5123,7.5123,61.7465,63.8165,1.4084,4.808
3795,Bangalore,17.1845,16.2921,147.4116,149.0,-0.6016,0.4694
3795,Chennai,20.7482,17.7482,141.0683,146.4083,-4.3621,-0.7418
3795,Delhi-NCR,19.4436,22.0232,143.3905,138.7987,4.9511,1.5903
3795,Hyderabad,19.3177,16.3177,143.6145,148.9545,-3.4082,0.1833
3795,Kolkata,16.8899,16.7641,147.9359,148.1599,0.5126,0.6648
3795,Others,15.0512,14.3453,151.2089,152.4654,-0.0979,0.7323
3796,Bangalore,6.5986,3.5986,130.762,134.962,1.0283,4.2733
3796,Chennai,6.1428,3.1428,131.4,135.6,0.4259,3.6358
3796,Delhi-NCR,7.4495,4.4495,129.5707,133.7707,0.9512,4.2235
3796,Hyderabad,8.5005,5.5005,128.0993,132.2993,0.9694,4.2799
3796,Kolkata,7.5315,4.5315,129.4559,133.6559,1.0423,4.3205
3796,Lucknow,6.7235,3.7235,130.5871,134.7871,0.2792,3.5044
3796,Mumbai,7.7338,4.7338,129.1727,133.3727,-0.398,2.8405
3796,Others,7.6756,4.6756,129.2542,133.4542,1.0031,4.2851
3796,Pune,8.3086,5.3086,128.3679,132.5679,1.0201,4.3253
5460,Ahmedabad,19.5681,22.5681,60.3239,58.0739,4.7327,0.8264
5460,Bangalore,18.6924,21.6924,60.9807,58.7307,7.6413,3.6697
5460,Chandigarh Tricity,19.9321,22.9321,60.0509,57.8009,7.7162,3.6802
5460,Chennai,17.1699,20.1699,62.1226,59.8726,7.5403,3.6454
5460,Delhi-NCR,19.0238,22.0238,60.7321,58.4821,4.6996,0.8207
5460,Hyderabad,19.1012,22.1012,60.6741,58.4241,7.6638,3.6713
5460,Kolkata,19.0402,22.0402,60.7198,58.4698,4.7006,0.8208
5460,Lucknow,20.1717,23.1717,59.8712,57.6212,4.7701,0.8328
5460,Mumbai,18.7819,21.7819,60.9136,58.6636,4.685,0.8182
5460,Others,18.9927,21.9927,60.7555,58.5055,4.6977,0.8203
5460,Pune,19.0809,22.0809,60.6893,58.4393,7.6625,3.6711
5533,Bangalore,17.1136,14.1136,101.1214,104.7814,-0.8071,2.7831
5533,Chennai,16.3307,13.3307,102.0766,105.7366,-1.7611,1.7613
5533,Hyderabad,7.6434,4.6434,112.675,116.335,-0.5071,2.7247
5533,Lucknow,17.4258,14.4258,100.7406,104.4006,-2.2694,1.2812
5533,Others,16.7065,13.7065,101.6181,105.2781,-1.3783,2.1738
5540,Bangalore,0.011,0.0,47.9947,48.0,1.0426,1.0537
5540,Others,0.0026,0.0,47.9988,48.0,0.9126,0.9151
5541,Pune,35.2381,32.2381,226.6667,237.1667,-3.657,0.806
5629,Delhi-NCR,2.67,0.0,155.728,160.0,-1.7125,0.9837
5629,Others,4.0008,1.0008,153.5987,158.3987,-2.1578,0.8998
5751,Ahmedabad,15.0656,15.0623,80.6877,80.6908,1.2634,1.2672
5751,Bangalore,15.4798,12.4798,80.2941,83.1441,1.59,5.1959
5751,Chandigarh Tricity,16.32,13.32,79.496,82.346,-0.5467,3.0187
5751,Chennai,17.4372,14.4372,78.4347,81.2847,0.7225,4.3824
5751,Delhi-NCR,14.9469,11.9469,80.8005,83.6505,1.581,5.164
5751,Hyderabad,15.9322,12.9322,79.8644,82.7144,1.6141,5.2403
5751,Kolkata,16.2635,13.2635,79.5496,82.3996,1.6297,5.2708
5751,Lucknow,13.6987,10.6987,81.9862,84.8362,0.4222,3.9131
5751,Mumbai,15.6582,12.6582,80.1247,82.9747,-0.4598,3.0808
5751,Others,14.5828,11.5828,81.1464,83.9964,1.6862,5.2576
5751,Pune,15.8212,12.8212,79.9699,82.8199,1.6729,5.2964
5793,Ahmedabad,8.4768,11.4768,82.3709,79.6709,4.5062,1.0806
5793,Bangalore,9.8022,6.8022,81.178,83.878,-2.2967,0.9529
5793,Chennai,8.0392,5.0392,82.7647,85.4647,-6.2196,-3.1602
5793,Delhi-NCR,8.5971,5.5971,82.2627,84.9627,-4.1811,-1.0362
5793,Hyderabad,7.8472,4.8481,82.9375,85.6367,-2.085,1.1017
5793,Kolkata,8.7261,5.7261,82.1465,84.8465,-4.1867,-1.0375
5793,Lucknow,7.9664,4.9666,82.8303,85.5301,-2.4864,0.692
5793,Mumbai,9.4339,6.4339,81.5095,84.2095,-2.5362,0.6923
5793,Others,5.17,2.17,85.347,88.047,-6.0982,-3.1275
5793,Pune,8.125,5.125,82.6875,85.3875,-2.1003,1.0965
5800,Bangalore,11.8563,8.8667,114.5868,118.4732,-1.5696,1.7688
5800,Chandigarh Tricity,10.581,7.581,116.2447,120.1447,-1.8504,1.4425
5800,Chennai,11.1775,8.1775,115.4693,119.3693,-1.6495,1.6723
5800,Delhi-NCR,10.8261,7.8261,115.9261,119.8261,-1.4157,1.9009
5800,Hyderabad,10.6336,7.9616,116.1763,119.65,-1.2013,1.7528
5800,Kolkata,10.8991,7.8991,115.8312,119.7312,-1.4464,1.8718
5800,Lucknow,11.1538,8.1538,115.5,119.4,-1.8673,1.4462
5800,Mumbai,10.7366,7.7366,116.0425,119.9425,-1.4628,1.8489
5800,Others,10.786,7.786,115.9782,119.8782,-1.5756,1.7341
5800,Pune,10.3229,7.3229,116.5802,120.4802,-1.4624,1.834
5801,Ahmedabad,8.4567,5.4772,50.3488,51.9876,-2.0088,1.1805
5801,Bangalore,9.3749,6.5734,49.8438,51.3846,-1.1535,1.9022
5801,Chandigarh Tricity,3.6772,0.6772,52.9775,54.6275,-1.5108,1.5567
5801,Chennai,6.7947,3.7947,51.2629,52.9129,-1.3843,1.7898
5801,Delhi-NCR,3.012,0.012,53.3434,54.9934,-1.0083,2.0537
5801,Hyderabad,7.7103,4.8103,50.7594,52.3543,-1.1913,1.9135
5801,Kolkata,7.1338,4.1338,51.0764,52.7264,-1.163,2.0299
5801,Lucknow,7.4282,4.4282,50.9145,52.5645,-1.6267,1.5613
5801,Mumbai,6.2674,3.2674,51.5529,53.2029,-1.1546,2.009
5801,Others,3.6109,0.6109,53.014,54.664,-1.1897,1.8857
5801,Pune,6.8241,3.8241,51.2467,52.8967,-1.1894,1.992
16655,Chandigarh Tricity,5.567,2.567,162.4248,167.5848,-2.1104,0.9994
16655,Others,2.5553,0.0,167.6048,172.0,-1.6603,0.9185
16658,Bangalore,9.6255,6.6255,76.8183,79.3683,1.3972,4.7631
16658,Chandigarh Tricity,7.1881,4.1881,78.8901,81.4401,-0.0893,3.1402
16658,Chennai,9.6015,6.6015,76.8387,79.3887,0.611,3.9499
16658,Delhi-NCR,9.7539,6.7539,76.7092,79.2592,1.3397,4.7085
16658,Hyderabad,9.761,6.761,76.7031,79.2531,1.4104,4.7818
16658,Kolkata,9.8009,6.8009,76.6693,79.2193,1.4449,4.819
16658,Lucknow,8.288,5.288,77.9552,80.5052,0.6906,3.9843
16658,Mumbai,9.9612,6.9612,76.5329,79.0829,-0.168,3.1583
16658,Others,9.6786,6.6786,76.7732,79.3232,1.4092,4.7775
16658,Pune,9.7516,6.7516,76.7111,79.2611,1.4601,4.8328
16659,Delhi-NCR,15.3933,12.3933,115.0652,119.1452,-2.1501,1.3195
16659,Hyderabad,6.9773,3.9773,126.5109,130.5909,-1.6948,1.4756
16659,Lucknow,0.092,0.0,135.8749,136.0,1.2622,1.3554
16659,Mumbai,9.644,6.6614,122.8842,126.9405,-1.7668,1.4758
16659,Others,9.7273,6.7273,122.7709,126.8509,-1.7822,1.4819
16659,Pune,10.5286,7.5286,121.6812,125.7612,-1.8781,1.4119
16661,Bangalore,13.7413,10.7413,155.2656,160.6656,-3.2221,0.1437
16661,Chandigarh Tricity,14.1532,11.1772,154.5243,159.8811,-3.5145,-0.1697
16661,Chennai,10.7407,7.7407,160.6667,166.0667,-3.888,-0.6577
16661,Delhi-NCR,14.3021,11.4527,154.2562,159.3852,-2.8648,0.3649
16661,Hyderabad,13.5744,10.5744,155.5661,160.9661,-2.6004,0.7805
16661,Kolkata,12.5031,9.5494,157.4943,162.8111,-3.1276,0.1427
16661,Lucknow,16.4887,13.4887,150.3204,155.7204,-3.5141,-0.0481
16661,Mumbai,14.0486,11.0486,154.7125,160.1125,-3.5422,-0.1755
16661,Others,14.245,11.3216,154.359,159.6212,-2.6956,0.6215
16661,Pune,13.5982,10.5982,155.5233,160.9233,-3.1983,0.1628
21491,Ahmedabad,23.1363,20.1363,326.6709,339.4209,-2.3726,1.4378
21491,Bangalore,19.6809,17.9188,341.3563,348.8449,0.6527,2.8608
21491,Chandigarh Tricity,14.5967,11.5967,362.9641,375.7141,-2.8217,0.592
21491,Chennai,22.2084,19.2084,330.6143,343.3643,-2.0496,1.7278
21491,Delhi-NCR,22.653,19.653,328.7249,341.4749,-1.4259,2.3974
21491,Hyderabad,23.4493,20.4493,325.3404,338.0904,-1.248,2.6221
