product_id,city,base_disc,opt_disc,base_price,opt_price,pred_units_delta_pct,pred_rev_delta_pct
3581,Others,0.3531,0.419,64.7705,64.7276,0.3238,0.2574
3582,Bangalore,15.8878,15.8878,58.8786,58.8786,3.4945,3.4945
3582,Chandigarh Tricity,16.2175,16.2171,58.6477,58.648,0.8462,0.8467
3582,Chennai,15.754,12.7601,58.9722,61.0679,-1.9098,1.5761
3582,Delhi-NCR,10.6634,7.6634,62.5356,64.6356,-0.9136,2.4138
3582,Hyderabad,12.5888,9.5888,61.1878,63.2878,-0.9543,2.445
3582,Kolkata,16.1529,13.1668,58.693,60.7833,-1.0948,2.4276
3582,Lucknow,5.7998,5.7998,65.9401,65.9401,2.9435,2.9435
3582,Mumbai,14.4311,14.4311,59.8982,59.8982,0.9023,0.9024
3582,Others,13.8325,10.9591,60.3172,62.3286,-0.8707,2.4349
3582,Pune,16.0295,13.0295,58.7794,60.8794,-1.0391,2.4964
3583,Ahmedabad,14.3143,15.5686,77.1171,75.9883,0.0008,-1.463
3583,Bangalore,13.2273,13.2278,78.0954,78.0949,3.0549,3.0543
3583,Chandigarh Tricity,15.4158,16.6701,76.1257,74.9969,0.0001,-1.4828
3583,Chennai,12.0762,12.0763,79.1314,79.1314,3.1026,3.1025
3583,Delhi-NCR,13.947,15.2013,77.4477,76.3188,0.0002,-1.4573
3583,Hyderabad,16.9812,16.9815,74.7169,74.7166,2.988,2.9876
3583,Kolkata,12.3567,13.611,78.879,77.7501,0.0002,-1.4309
3583,Lucknow,12.1609,13.4152,79.0552,77.9263,0.0,-1.4279
3583,Mumbai,17.974,17.974,73.8234,73.8234,3.101,3.1011
3583,Others,9.8262,9.8257,81.1564,81.1569,3.0452,3.0458
3583,Pune,15.4457,15.4459,76.0988,76.0987,3.0642,3.064
3586,Bangalore,11.0479,8.0479,137.8757,142.5257,-4.065,-0.8295
3586,Chennai,11.3784,14.3784,137.3635,132.7135,4.0966,0.5728
3586,Delhi-NCR,14.6165,17.6165,132.3444,127.6944,4.2808,0.6168
3586,Hyderabad,10.8071,13.8071,138.249,133.599,3.7211,0.2324
3586,Kolkata,8.343,9.6229,142.0684,140.0845,1.6496,0.2302
3586,Mumbai,12.2379,15.2379,136.0312,131.3812,4.5105,0.938
3586,Others,11.1888,14.1888,137.6573,133.0073,4.4551,0.9266
3587,Bangalore,22.087,21.8816,93.4956,93.742,-0.2656,-0.0027
3587,Chandigarh Tricity,26.4307,29.3721,88.2831,84.7535,5.4749,1.2579
3587,Chennai,23.4053,26.4053,91.9136,88.3136,4.8402,0.7339
3587,Delhi-NCR,22.7251,25.7251,92.7299,89.1299,4.7869,0.7188
3587,Hyderabad,20.5843,23.2456,95.2989,92.1053,3.5154,0.0465
3587,Kolkata,22.317,25.1318,93.2196,89.8418,4.7097,0.9156
3587,Lucknow,24.1549,27.1549,91.0141,87.4141,4.8003,0.655
3587,Mumbai,25.1681,28.1681,89.7983,86.1983,5.4683,1.2401
3587,Others,22.6836,25.6836,92.7797,89.1797,5.4131,1.3229
3587,Pune,24.4704,27.4704,90.6355,87.0355,5.2434,1.0632
3588,Ahmedabad,18.5992,21.5992,162.8016,156.8016,4.3774,0.5306
3588,Bangalore,18.1202,15.1202,163.7595,169.7595,-4.5249,-1.0267
3588,Chandigarh Tricity,28.0659,25.8575,143.8681,148.2849,-3.8441,-0.8921
3588,Chennai,18.3003,21.3003,163.3993,157.3993,4.441,0.6059
3588,Delhi-NCR,18.2567,21.2567,163.4866,157.4866,4.4463,0.6131
3588,Hyderabad,17.795,20.795,164.41,158.41,3.8796,0.0886
3588,Kolkata,18.6017,21.572,162.7965,156.856,4.7556,0.9331
3588,Lucknow,15.8469,18.8469,168.3061,162.3061,4.1373,0.4248
3588,Mumbai,16.5873,13.5873,166.8255,172.8255,-4.4926,-1.0576
3588,Others,18.0799,15.0799,163.8403,169.8403,-4.4153,-0.9149
3588,Pune,17.6875,14.6875,164.625,170.625,-4.7264,-1.254
3592,Bangalore,3.4536,6.4536,96.5464,93.5464,1.6808,-1.4788
3592,Chandigarh Tricity,3.8451,6.8451,96.1549,93.1549,4.2381,0.9859
3592,Chennai,3.6366,6.6366,96.3634,93.3634,6.3194,3.0094
3592,Delhi-NCR,3.4933,6.4933,96.5067,93.5067,6.1653,2.8651
3592,Hyderabad,3.6388,6.6388,96.3612,93.3612,1.933,-1.2404
3592,Kolkata,3.4354,6.4354,96.5646,93.5646,6.1009,2.8046
3592,Lucknow,3.45,6.45,96.55,93.55,1.4434,-1.7087
3592,Mumbai,3.4739,6.4739,96.5261,93.5261,1.4319,-1.7205
3592,Others,3.5101,6.5101,96.4899,93.4899,6.101,2.8022
3592,Pune,4.4422,7.4422,95.5578,92.5578,1.9533,-1.2475
3595,Pune,3.8584,0.9305,240.3539,247.6738,-2.7735,0.1875
3596,Bangalore,10.4887,7.4887,61.7628,63.8328,0.8181,4.197
3596,Chandigarh Tricity,11.0784,8.0784,61.3559,63.4259,-1.4948,1.8285
3596,Chennai,11.914,8.914,60.7794,62.8494,-3.1731,0.1246
3596,Delhi-NCR,11.4699,8.4699,61.0858,63.1558,-0.0452,3.3419
3596,Hyderabad,13.2181,10.2181,59.8795,61.9495,-1.1056,2.3131
3596,Kolkata,10.1126,7.1126,62.0223,64.0923,-1.5174,1.7695
3596,Lucknow,7.5446,4.5446,63.7942,65.8642,-2.95,0.1991
3596,Mumbai,10.5056,7.5056,61.7512,63.8212,-1.6503,1.6466
3596,Others,10.5414,7.5414,61.7264,63.7964,-2.0929,1.1904
3596,Pune,10.5123,7.5136,61.7465,63.8156,-1.5426,1.7567
3795,Bangalore,17.1845,20.1845,147.4116,142.0716,2.8284,-0.8966
3795,Chennai,20.7482,23.7482,141.0683,135.7283,4.7009,0.7375
3795,Delhi-NCR,19.4436,22.4436,143.3905,138.0505,4.61,0.7142
3795,Hyderabad,19.3177,22.3177,143.6145,138.2745,4.2906,0.4128
3795,Kolkata,16.8899,19.846,147.9359,142.6741,2.222,-1.4139
3795,Others,15.0512,18.0512,151.2089,145.8689,4.6128,0.9183
3796,Bangalore,6.5986,3.5986,130.762,134.962,-0.976,2.2046
3796,Chennai,6.1428,3.1428,131.4,135.6,-1.4701,1.6793
3796,Delhi-NCR,7.4495,4.4495,129.5707,133.7707,-0.933,2.2782
3796,Hyderabad,8.5005,5.5005,128.0993,132.2993,-0.9265,2.3219
3796,Kolkata,7.5315,4.5315,129.4559,133.6559,-0.8632,2.3532
3796,Lucknow,6.7235,3.7235,130.5871,134.7871,-1.5184,1.649
3796,Mumbai,7.7338,4.7342,129.1727,133.3722,-3.2012,-0.0543
3796,Others,7.6756,4.6756,129.2542,133.4542,-0.9269,2.2924
3796,Pune,8.3086,5.3086,128.3679,132.5679,-0.8356,2.4089
5460,Ahmedabad,19.5681,22.5681,60.3239,58.0739,4.7327,0.8264
5460,Bangalore,18.6924,21.6924,60.9807,58.7307,7.6413,3.6697
5460,Chandigarh Tricity,19.9321,22.9321,60.0509,57.8009,7.7162,3.6802
5460,Chennai,17.1699,20.1699,62.1226,59.8726,7.5403,3.6454
