category,city,n_cells,n_vars,n_rows,status,stop_reason,gap_target,achieved_gap,hit_time_limit,dual_bound,objective_net_rev,baseline_hold_net_rev,nodes,solve_time_s,budget_wk,n_held_cells
Besan & Gram Flour,Bangalore,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-213121.0,213121.0,212919.0,1.0,0.26,2129.0,0.0
Besan & Gram Flour,Chandigarh Tricity,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-28248.0,28248.0,28221.0,1.0,0.02,282.0,0.0
Besan & Gram Flour,Delhi-NCR,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-209886.0,209886.0,209687.0,1.0,0.02,2097.0,0.0
Besan & Gram Flour,Hyderabad,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-135041.0,135041.0,134913.0,1.0,0.01,1349.0,0.0
Besan & Gram Flour,Kolkata,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-19301.0,19301.0,19238.0,1.0,0.0,193.0,0.0
Besan & Gram Flour,Mumbai,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-44912.0,44912.0,44550.0,1.0,0.0,448.0,0.0
Besan & Gram Flour,Others,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-178458.0,178458.0,178289.0,1.0,0.01,1783.0,0.0
Besan & Gram Flour,Pune,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-36842.0,36842.0,36807.0,1.0,0.02,368.0,0.0
Dal & Pulses,Ahmedabad,6,504.0,402.0,0,target_gap_hit,0.01,0.005649,False,-411689.0,409376.0,422132.0,1.0,0.06,4302.0,0.0
Dal & Pulses,Bangalore,11,924.0,717.0,0,target_gap_hit,0.01,0.007253,False,-5492958.0,5453407.0,5601679.0,1.0,0.09,57313.0,0.0
Dal & Pulses,Chandigarh Tricity,9,756.0,591.0,0,target_gap_hit,0.01,0.008916,False,-259100.0,256810.0,262354.0,1.0,0.22,2654.0,0.0
Dal & Pulses,Chennai,10,840.0,654.0,0,target_gap_hit,0.01,0.003786,False,-545155.0,543099.0,553805.0,1.0,0.09,5548.0,0.0
