week,week_date,cell_id,confidence,scored,pred_net_rev_delta,actual_net_rev_delta,pred_units,actual_units,applied,week_action
W1,2026-07-20,108382_100g_Ahmedabad,High,True,0.0,,99.5,,False,hold
W1,2026-07-20,108382_100g_Bangalore,High,True,0.0,,666.2,,False,hold
W1,2026-07-20,108382_100g_Chennai,High,True,0.0,,473.8,,False,hold
W1,2026-07-20,108382_100g_Delhi-NCR,High,True,0.0,,874.8,,False,hold
W1,2026-07-20,108382_100g_Hyderabad,High,True,0.0,,501.8,,False,hold
W1,2026-07-20,108382_100g_Kolkata,High,True,0.0,,210.8,,False,hold
W1,2026-07-20,108382_100g_Lucknow,High,True,0.0,,108.2,,False,hold
W1,2026-07-20,108382_100g_Mumbai,High,True,0.0,,663.2,,False,hold
W1,2026-07-20,108382_100g_Others,High,True,0.0,,1677.2,,False,hold
W1,2026-07-20,108382_100g_Pune,High,True,0.0,,329.8,,False,hold
W1,2026-07-20,112761_1kg_Bangalore,High,True,0.0,,207.8,,False,hold
W1,2026-07-20,112761_1kg_Chennai,High,True,0.0,,24.0,,False,hold
W1,2026-07-20,112761_1kg_Delhi-NCR,High,True,0.0,,83.0,,False,hold
W1,2026-07-20,112761_1kg_Hyderabad,High,True,0.0,,106.8,,False,hold
W1,2026-07-20,112761_1kg_Kolkata,High,True,0.0,,44.5,,False,hold
W1,2026-07-20,112761_1kg_Lucknow,High,True,0.0,,15.8,,False,hold
W1,2026-07-20,112761_1kg_Mumbai,High,True,0.0,,45.5,,False,hold
W1,2026-07-20,112761_1kg_Others,High,True,0.0,,206.2,,False,hold
W1,2026-07-20,112761_1kg_Pune,High,True,0.0,,22.2,,False,hold
W1,2026-07-20,122262_500g_Bangalore,High,True,0.0,,174.5,,False,hold
W1,2026-07-20,122262_500g_Chandigarh Tricity,High,True,0.0,,20.8,,False,hold
W1,2026-07-20,122262_500g_Delhi-NCR,High,True,0.0,,157.5,,False,hold
W1,2026-07-20,122262_500g_Hyderabad,High,True,0.0,,109.5,,False,hold
W1,2026-07-20,122262_500g_Kolkata,High,True,0.0,,13.8,,False,hold
W1,2026-07-20,122262_500g_Mumbai,High,True,0.0,,44.2,,False,hold
W1,2026-07-20,122262_500g_Others,High,True,0.0,,144.2,,False,hold
W1,2026-07-20,122262_500g_Pune,High,True,0.0,,29.2,,False,hold
W1,2026-07-20,126995_500g_Ahmedabad,Experimental,True,0.0,,24.0,,False,hold
W1,2026-07-20,126995_500g_Bangalore,High,True,0.0,,1141.2,,False,hold
W1,2026-07-20,126995_500g_Chandigarh Tricity,High,True,0.0,,130.5,,False,hold
W1,2026-07-20,126995_500g_Chennai,High,True,0.0,,86.2,,False,hold
W1,2026-07-20,126995_500g_Delhi-NCR,High,True,0.0,,415.2,,False,hold
W1,2026-07-20,126995_500g_Hyderabad,High,True,0.0,,358.8,,False,hold
W1,2026-07-20,126995_500g_Kolkata,High,True,0.0,,294.2,,False,hold
W1,2026-07-20,126995_500g_Lucknow,High,True,0.0,,117.0,,False,hold
W1,2026-07-20,126995_500g_Mumbai,High,True,0.0,,637.2,,False,hold
W1,2026-07-20,126995_500g_Others,High,True,0.0,,1436.8,,False,hold
