product_id,city,base_disc,opt_disc,base_price,opt_price,pred_units_delta_pct,pred_rev_delta_pct
122262,Bangalore,6.6447,3.6447,116.6942,120.4442,-3.0568,0.0585
122262,Chandigarh Tricity,5.9469,2.9469,117.5663,121.3163,-3.0341,0.0588
122262,Delhi-NCR,5.7185,2.7185,117.8519,121.6019,-3.0277,0.058
122262,Hyderabad,6.0862,3.0862,117.3923,121.1423,-2.5818,0.5302
490410,Hyderabad,5.868,2.868,235.8948,243.4128,0.0,0.0
122262,Kolkata,4.7748,1.7748,119.0315,122.7815,-2.9986,0.0574
122262,Mumbai,9.4351,6.4351,113.2061,116.9561,-3.148,0.0603
122262,Others,6.0599,3.0599,117.4251,121.1751,-3.038,0.0585
122262,Pune,7.4489,4.4489,115.6889,119.4389,-3.0825,0.059
3588,Ahmedabad,18.5992,15.5992,162.8016,168.8016,-3.8633,-0.3202
21833,Ahmedabad,3.0124,0.0124,220.1617,226.9717,-3.4397,-0.4529
32385,Ahmedabad,28.5201,31.5201,253.7537,243.1037,6.2356,1.7769
32386,Ahmedabad,27.1058,24.1058,233.9903,243.6203,-4.5638,-0.6361
126995,Ahmedabad,26.2019,23.2019,118.0769,122.8769,-4.3216,-0.4321
495092,Ahmedabad,24.0625,21.0625,243.0,252.6,0.0,0.0
3586,Bangalore,11.0479,8.0656,137.8757,142.4983,-3.4119,-0.1736
3587,Bangalore,22.087,19.0905,93.4956,97.0913,-3.8228,-0.1239
3588,Bangalore,18.1202,15.1254,163.7595,169.7492,-3.6414,-0.1169
3795,Bangalore,17.1845,16.526,147.4116,148.5836,-0.3858,0.4063
16661,Bangalore,13.7413,10.7433,155.2656,160.6621,-3.3769,-0.0187
21835,Bangalore,4.9867,1.9912,161.5227,166.615,-3.0694,-0.0135
24055,Bangalore,19.613,19.5256,98.876,98.9835,0.3848,0.494
31999,Bangalore,8.4933,6.296,145.4957,148.9894,-2.1534,0.1961
32385,Bangalore,28.4886,31.4862,253.8653,243.2241,6.3003,1.8445
126995,Bangalore,30.0401,33.0348,111.9358,107.1443,6.9362,2.3587
495092,Bangalore,41.243,38.2517,188.0223,197.5945,0.0,0.0
3587,Chandigarh Tricity,26.4307,23.4313,88.2831,91.8824,-4.2417,-0.3377
3588,Chandigarh Tricity,28.0659,25.5004,143.8681,148.9993,-3.6811,-0.2458
16661,Chandigarh Tricity,14.1532,11.1545,154.5243,159.922,-3.5417,-0.1724
21835,Chandigarh Tricity,4.6078,1.6083,162.1667,167.266,-3.1782,-0.1337
21836,Chandigarh Tricity,6.5958,3.5962,149.4467,154.2461,-3.4749,-0.375
31999,Chandigarh Tricity,4.4249,1.4252,151.9644,156.734,-3.1494,-0.1096
75468,Chandigarh Tricity,2.524,3.9914,155.9617,153.6138,2.2871,0.7472
126995,Chandigarh Tricity,26.8193,29.8192,117.0891,112.2893,6.5055,2.1396
495092,Chandigarh Tricity,48.9978,46.6108,163.2071,170.8454,0.0,0.0
3586,Chennai,11.3784,14.3784,137.3635,132.7135,4.7222,1.1772
3587,Chennai,23.4053,20.4053,91.9136,95.5136,-4.5529,-0.8145
3588,Chennai,18.3003,21.3003,163.3993,157.3993,5.2384,1.374
3795,Chennai,20.7482,17.7482,141.0683,146.4083,-4.3621,-0.7418
16661,Chennai,10.7407,7.7407,160.6667,166.0667,-3.888,-0.6577
21835,Chennai,2.3618,0.0,165.985,170.0,-2.7072,-0.3538
24055,Chennai,15.2627,12.2627,104.2268,107.9168,-4.0814,-0.6856
