product_id,city,base_disc,opt_disc,base_price,opt_price,pred_units_delta_pct,pred_rev_delta_pct
3581,Others,0.0,0.0,65.0,65.0,0.4276,0.4276
3582,Bangalore,7.2623,5.2623,64.9164,66.3164,2.4789,4.6889
3582,Chandigarh Tricity,7.3016,5.3016,64.8889,66.2889,1.4389,3.6274
3582,Chennai,7.0721,5.0721,65.0495,66.4495,1.4936,3.678
3582,Delhi-NCR,6.8417,4.8417,65.2108,66.6108,2.4637,4.6634
3582,Hyderabad,5.9964,3.9964,65.8025,67.2025,2.5035,4.6843
3582,Kolkata,6.8164,4.8164,65.2286,66.6286,2.4721,4.6715
3582,Lucknow,5.4581,3.4581,66.1793,67.5793,2.4539,4.6212
3582,Mumbai,7.9073,5.9073,64.4649,65.8649,1.5906,3.7968
3582,Others,6.8188,4.8188,65.2268,66.6268,2.4501,4.6491
3582,Pune,6.84,4.84,65.212,66.612,2.5099,4.7106
3583,Ahmedabad,7.9674,9.9674,82.8293,81.0293,2.7709,0.5375
3583,Bangalore,8.7336,6.7336,82.1398,83.9398,-0.6705,1.5062
3583,Chandigarh Tricity,8.4001,10.4001,82.4399,80.6399,2.7843,0.5401
3583,Chennai,8.0218,6.0218,82.7804,84.5804,-0.5968,1.5646
3583,Delhi-NCR,8.481,10.481,82.3671,80.5671,2.7868,0.5406
3583,Hyderabad,8.0161,6.0161,82.7855,84.5855,-0.6733,1.4863
3583,Kolkata,8.7294,10.7294,82.1435,80.3435,2.7946,0.5421
3583,Lucknow,7.9948,9.9948,82.8047,81.0047,2.7717,0.5377
3583,Mumbai,9.8908,7.8908,81.0983,82.8983,-0.6534,1.5516
3583,Others,8.3063,10.3063,82.5243,80.7243,4.8929,2.605
3583,Pune,8.8932,6.8932,81.9961,83.7961,-0.6544,1.5265
3586,Bangalore,20.3749,18.4598,123.4189,126.3873,-0.6679,1.7212
3586,Chennai,20.7651,18.7651,122.8141,125.9141,-0.7407,1.7647
3586,Delhi-NCR,21.3677,19.3677,121.88,124.98,-0.5115,2.019
