experiment,scope,log_r2,mape,r2_units
E0_baseline,overall,0.258,53.0,0.401
E0_baseline,3583|500g,,34.7,0.441
E0_baseline,126995|500g,,63.3,-0.367
E0_baseline,286878|1kg,,60.2,-0.169
E1_last_6mo,overall,0.837,25.4,0.925
E1_last_6mo,3583|500g,,22.8,0.947
E1_last_6mo,32386|1kg,,34.0,0.663
E1_last_6mo,126995|500g,,30.0,0.729
E1_last_6mo,286878|1kg,,18.0,0.887
E2_outliers_z2,overall,0.287,51.4,0.405
E2_outliers_z2,3583|500g,,33.9,0.439
E2_outliers_z2,126995|500g,,60.3,-0.312
E2_outliers_z2,286878|1kg,,59.7,-0.174
E3_lagged_baseline,overall,0.687,37.1,0.558
E3_lagged_baseline,3583|500g,,30.8,0.515
E3_lagged_baseline,126995|500g,,40.4,0.269
E3_lagged_baseline,286878|1kg,,39.8,0.569
E4_oil_floor_minus6,overall,,,
E5_lp_weekend_interaction,overall,0.255,53.0,0.404
E5_lp_weekend_interaction,3583|500g,,34.4,0.446
E5_lp_weekend_interaction,126995|500g,,63.3,-0.366
E5_lp_weekend_interaction,286878|1kg,,60.4,-0.174
E6_combined_z2_lagged,overall,0.717,34.3,0.572
E6_combined_z2_lagged,3583|500g,,28.9,0.531
E6_combined_z2_lagged,126995|500g,,37.1,0.306
E6_combined_z2_lagged,286878|1kg,,36.7,0.634
E7_recent_plus_z2,overall,0.853,22.7,0.94
E7_recent_plus_z2,3583|500g,,20.8,0.957
E7_recent_plus_z2,32386|1kg,,34.5,0.677
E7_recent_plus_z2,126995|500g,,26.1,0.776
E7_recent_plus_z2,286878|1kg,,13.6,0.925
E8_recent_plus_lagged,overall,0.841,25.3,0.928
E8_recent_plus_lagged,3583|500g,,22.6,0.947
E8_recent_plus_lagged,32386|1kg,,35.1,0.655
E8_recent_plus_lagged,126995|500g,,28.7,0.744
E8_recent_plus_lagged,286878|1kg,,20.8,0.859
E9_all_three,overall,0.856,22.5,0.942
E9_all_three,3583|500g,,20.7,0.957
E9_all_three,32386|1kg,,35.7,0.669
E9_all_three,126995|500g,,24.9,0.789
E9_all_three,286878|1kg,,15.9,0.909
